Location,Partic. No.,$ cat hashbang,cp,grep,str[1:-1],Func in Python,Except in Python,git merge,SVN version,git checkout,SQL,Prog.  Join,Database Design,Python Statements,Lang struct Python,Blocks code Python,Greeting Python,Average Python (3),Average Python (set),Small program Python,Complex Prob. Python,Modular Python,Obj. oriented Para.,Pre-writ Func.,Cannot Complete,I can debug,I can comprehend,Can't complete proj w/o help,Can't complete proj w/o manual,Can complete w/time,Can complete with buit-in hlp,Can overcome prob.,Suitable strategy,Can't complete proj w/o call for help,Mentally trace through,Re-write confusing portion,Can concentrate,Motivate myself,Can wrie for others to comp,Shell Train,Python Train,Subversion Train,SQL Train,OVERALL,Meet Needs,Did you Learn,Understanding,Recommend,Age,Adacemic Status,Gender,Ethnicity,PostUnderstanding,PostPythonCoding,PreAbility,PreUnderstanding,PrePythonCoding
MSU,1,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,3,1,1,2,4,4,1,1,4,4,3,2,3,2,4,2,3,3,3,3,5,4,4,5,4,D,Y,Y,Y,50,D,A,B,=AVERAGE(C2:N2),"=SUM(O2:Y2,(5-Z2),AA2:AB2,(5-AC2),(5-AD2),AE2:AH2,(5-AI2),AJ2:AL2,AN2)/25",1.3333333333,1.0833333333,1.8
MSU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,D,A,B,,,2,2.1666666667,2.16
MSU,3,4,4,4,3,3,3,3,3,3,3,3,3,2.5,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2.5,3,2.5,2,3,2.5,3,3,3,4,4,,4,,D,Y,Y,Y,27,B,A,B,=AVERAGE(C4:N4),"=SUM(O4:Y4,(5-Z4),AA4:AB4,(5-AC4),(5-AD4),AE4:AH4,(5-AI4),AJ4:AL4,AN4)/25",2,2.5,2.56
MSU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,B,B,,,2.1666666667,2.5833333333,2.44
MSU,5,2,3,3,2,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,2,3,2,2,3,3,3,3,2,2,2,3,3,3,3,5,5,,5,4,D,Y,Y,Y,30,B,B,C,=AVERAGE(C6:N6),"=SUM(O6:Y6,(5-Z6),AA6:AB6,(5-AC6),(5-AD6),AE6:AH6,(5-AI6),AJ6:AL6,AN6)/25",1.6666666667,2.4166666667,2.28
MSU,6,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,2,3,4,4,,,4,D,Y,Y,Y,29,B,B,C,=AVERAGE(C7:N7),"=SUM(O7:Y7,(5-Z7),AA7:AB7,(5-AC7),(5-AD7),AE7:AH7,(5-AI7),AJ7:AL7,AN7)/25",1.8333333333,2.5,2.56
MSU,7,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,4,3,4,4,1,2,3,2,3,4,5,5,,5,5,D,Y,Y,Y,28,D,B,B,=AVERAGE(C8:N8),"=SUM(O8:Y8,(5-Z8),AA8:AB8,(5-AC8),(5-AD8),AE8:AH8,(5-AI8),AJ8:AL8,AN8)/25",2,2.1666666667,2.76
MSU,8,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,3,4,3,2,4,5,C,Y,Y,Y,28,B,A,C,=AVERAGE(C9:N9),"=SUM(O9:Y9,(5-Z9),AA9:AB9,(5-AC9),(5-AD9),AE9:AH9,(5-AI9),AJ9:AL9,AN9)/25",1.6666666667,2.4166666667,2.52
MSU,9,4,4,3,2,4,2,3,3,4,3,4,3,3,3,3,4,4,4,4,2,4,2,3,2,2.5,2,2,2,3,3,3,2,3,2,2.5,2,2,3,4,4,4,4,4,C,Y,Y,Y,28,B,A,C,=AVERAGE(C10:N10),"=SUM(O10:Y10,(5-Z10),AA10:AB10,(5-AC10),(5-AD10),AE10:AH10,(5-AI10),AJ10:AL10,AN10)/25",1.5833333333,2.1666666667,2.82
MSU,10,1,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,3,3,1,3,4,2,4,4,1,3,3,3,3,4,4,4,,4,4,C,Y,N,Y,27,B,B,C,=AVERAGE(C11:N11),"=SUM(O11:Y11,(5-Z11),AA11:AB11,(5-AC11),(5-AD11),AE11:AH11,(5-AI11),AJ11:AL11,AN11)/25",2,2.4166666667,3.4
